id	first_name	last_name	position	height	weight
000010944	Mike	McKenzie	UNK	6-0	194
000026752	Rashaad	Jackson	UNK	6-2	298
000028043	Roy	Helu	RB	5-11in	215
000022026	Brooks	Bollinger	UNK	6-1	205
000028041	Sam	Acho	OLB	6-3in	257
000029843	Cordell	Roberson	UNK	6-4in	205
000026725	Dan	Skuta	OLB	6-2in	250
000026214	Dan	Connor	ILB	6-2in	241
000028040	Jordan	Cameron	TE	6-5in	245
000028047	Colin	McCarthy	MLB	6-1in	243
000028046	Quinton	Carter	SS	6-1in	200
000022021	Sean	Mahan	UNK	6-3	301
000026822	Maurice	Evans	UNK	6-2	265
000028518	Jarred	Fayson	UNK	6-0in	214
000028049	Clyde	Gates	WR	6-0in	197
000028048	David	Arkin	G	6-5in	310
000030048	Cornelius	Washington	DE	6-4in	265
000022029	Torrie	Cox	UNK	5-10	192
000026917	Cornelius	Ingram	UNK	6-4	250
000028860	Micanor	Regis	UNK	6-3in	305
000019733	Nick	Harper	UNK	5-10	182
000026914	Brandon	Hughes	UNK	5-11in	185
000026913	Johnny	Knox	UNK	6-0	185
000026912	William	Middleton	UNK	5-10in	190
000026911	Jason	Phillips	OLB	6-1in	240
000026910	Greg	Toler	CB	6-0in	190
000028868	Deangelo	Peterson	UNK	6-4in	235
000030272	Jake	Stoneburner	TE	6-3in	249
000030589	Andrell	Smith	UNK	6-3in	217
000026919	Xavier	Fulton	UNK	6-5	301
000026918	Marcus	Freeman	UNK	6-1	240
000020384	William	James	UNK	6-0	200
000029634	James	Hanna	TE	6-4in	250
000028199	Terrence	McCrae	UNK	6-3	194
000028198	Matt	Asiata	RB	6-0in	234
000024354	Parys	Haralson	OLB	6-0in	255
000028195	Paul	Fenaroli	UNK	6-3	310
000028194	Cory	Brandon	UNK	6-7in	324
000028197	Jeremiah	Masoli	UNK	5-11	220
000028196	Ricky	Henry	OG	6-4in	310
000028191	Chris	Neild	NT	6-2in	325
000028192	Cheta	Ozougwu	UNK	6-2in	255
000030042	Aaron	Tipoti	UNK	6-2in	280
000028469	Cameron	Graham	UNK	6-3in	244
000028468	Chad	Cunningham	UNK	6-2	210
000029845	Travis	Tannahill	UNK	6-4in	255
000025561	Troy	Smith	UNK	6-0	217
000029101	Cameron	Collins	UNK	6-2in	246
000027525	Buddy	Farnham	UNK	6-0	185
000025476	Aaron	Rouse	UNK	6-4	227
000022697	Keyaron	Fox	UNK	6-3	235
000030043	Da'Rick	Rogers	UNK	6-3in	208
000028465	Monte	Simmons	UNK	6-3in	248
